id,submitted_at,q1,q2,q12,q13,q3,q4,q5,q6,q7,q8,q9,q10,q11
0d8355e4-b382-48dc-86d0-6ff6e91a3dcd,2026-05-12T17:33:41.061+00:00,"Paid Employee (salary)","I pay through tax agents or middlemen","No, just my main income",,"Yes, I knew this","5","Yes, this has happened to me","No, this hasn't affected me","5","Yes, definitely prefer the app","5","5",
b3e6769d-ec86-4133-accb-2cdd48d34d0a,2026-05-11T09:33:04.175+00:00,"Paid Employee (salary)","I use government portals (e.g. TaxPro Max)","Yes, I have side income","I don't pay tax on this income","Yes, I knew this","3","I've never paid through a middleman","No, this hasn't affected me","4","Yes, definitely prefer the app","4","5",
7de311ff-1993-4f9a-8ad6-16b3954baf7f,2026-05-10T19:11:50.151+00:00,"Small Business Owner","I don't pay / I don't know how to pay","Yes, I have side income","I don't pay tax on this income","Yes, I knew this","3","I've never paid through a middleman","No, this hasn't affected me","5","Yes, definitely prefer the app","5","2",
d35acdc2-1ca3-4c04-babf-df7f9f26d628,2026-05-10T08:01:48.284+00:00,"Freelancer / Gig Worker","I hire an accountant","No, just my main income",,"Yes, I knew this","2","No, I always get a receipt","No, this hasn't affected me","1","No, I prefer the current way","1","3",
03eda4a6-3720-4a52-90e4-6bf93b478123,2026-05-10T07:27:01.192+00:00,"Paid Employee (salary)","I use government portals (e.g. TaxPro Max)","Yes, I have side income","I don't know how I should pay","I had heard something but wasn't sure","1","Yes, this has happened to me","No, but I've struggled to get a TCC before","5","Yes, definitely prefer the app","5","4","I hope the government uses the tax to do something better for the citizens, because we’re willing to pay our tax! But are they willing to us the money for basic amenities of the country?"
04b236ff-cbf1-454e-b392-cdb1ae88ad09,2026-05-09T23:20:55.538+00:00,"Small Business Owner","I don't pay / I don't know how to pay","No, just my main income",,"No, this is new to me","5","I've never paid through a middleman","No, this hasn't affected me","5","Yes, definitely prefer the app","1","5","I recommend the government should reduce the amount they're collecting in tax"
574565c6-250e-46e1-bf9e-746a7d293b64,2026-05-09T21:11:26.841+00:00,"Freelancer / Gig Worker","I use government portals (e.g. TaxPro Max)","Yes, I have side income","I file separately myself (e.g. TaxPro Max)","Yes, I knew this","3","I've never paid through a middleman","No, this hasn't affected me","4","Yes, definitely prefer the app","4","2",
442f9d03-6a8c-4fdd-b46d-da7f34cac7bf,2026-05-09T19:52:46.236+00:00,"Small Business Owner","I don't pay / I don't know how to pay","Yes, I have side income","I don't pay tax on this income","I had heard something but wasn't sure","5","I've never paid through a middleman","No, but I've struggled to get a TCC before","5","Yes, definitely prefer the app","4","5",
6b75c512-e8b4-4bb9-9984-414d61c110b4,2026-05-09T17:40:23.884+00:00,"Freelancer / Gig Worker","I don't pay / I don't know how to pay","Yes, I have side income","I don't know how I should pay","Yes, I knew this","5","I've never paid through a middleman","No, this hasn't affected me","2","Maybe, depends on the app","2","3","It's quite relatable"
fb212c56-6189-4be1-82b1-8dd1c8832346,2026-05-09T17:36:52.299+00:00,"Paid Employee (salary)","I use government portals (e.g. TaxPro Max)","Yes, I have side income","I pay through a tax agent or middleman","I had heard something but wasn't sure","5","No, I always get a receipt","No, but I've struggled to get a TCC before","3","No, I prefer the current way","3","3",
50761e2c-edf3-4d74-989a-a4a1cd51ef21,2026-05-09T15:18:06.005+00:00,"Paid Employee (salary)","I don't pay / I don't know how to pay","No, just my main income",,"I had heard something but wasn't sure","4","I've never paid through a middleman","No, this hasn't affected me","5","Maybe, depends on the app","4","5",
f95fa7b7-8d97-45b6-98d3-6c2769f3f393,2026-05-09T15:08:30.863+00:00,"Freelancer / Gig Worker","I don't pay / I don't know how to pay","No, just my main income",,"I had heard something but wasn't sure","5","I've never paid through a middleman","No, this hasn't affected me","4","Yes, definitely prefer the app","1","3","Not at the moment"
d1d93aca-1734-41d0-a93f-2a6cd8452ab4,2026-05-09T15:02:43.866+00:00,"Paid Employee (salary)","I don't pay / I don't know how to pay","No, just my main income",,"I had heard something but wasn't sure","3","I've never paid through a middleman","No, this hasn't affected me","5","Maybe, depends on the app","4","5",
6e54ab95-7b24-439f-9d2b-fadd4753c93c,2026-05-09T15:02:20.965+00:00,"Freelancer / Gig Worker","I don't pay / I don't know how to pay","No, just my main income",,"Yes, I knew this","5","I've never paid through a middleman","No, this hasn't affected me","5","Maybe, depends on the app","5","5","A good move"
fa881597-07bc-490a-9a68-d3bb0eb154ea,2026-05-09T15:00:08.778+00:00,"Small Business Owner","I don't pay / I don't know how to pay","Yes, I have side income","I don't know how I should pay","Yes, I knew this","3","I've never paid through a middleman","Yes, this has happened to me","3","Yes, definitely prefer the app","3","3",
b2f427d8-d069-4cf0-8b69-60b32f7f9b7f,2026-05-09T14:58:37.065+00:00,"Paid Employee (salary)","I don't pay / I don't know how to pay","Yes, I have side income","I don't pay tax on this income","I had heard something but wasn't sure","4","I've never paid through a middleman","No, this hasn't affected me","4","Yes, definitely prefer the app","4","4",
9488f713-d5d0-447e-b5c1-2f126a9a6111,2026-05-09T14:55:47.139+00:00,"Paid Employee (salary)","I use government portals (e.g. TaxPro Max)","Yes, I have side income","I assume PAYE on my salary covers it","Yes, I knew this","3","No, I always get a receipt","No, this hasn't affected me","4","Maybe, depends on the app","3","5",
f83ed67f-cb9d-4d5f-b5ff-6435dabc9dda,2026-05-09T14:55:45.966+00:00,"Paid Employee (salary)","I use government portals (e.g. TaxPro Max)","No, just my main income",,"Yes, I knew this","3","No, I always get a receipt","No, this hasn't affected me","4","Maybe, depends on the app","3","5",
db7ebb06-48f7-4880-9ca5-d34875165b31,2026-05-09T14:37:10.676+00:00,"Other","I hire an accountant",,,"Yes, I knew this","3","No, I always get a receipt","No, this hasn't affected me","4","Maybe, depends on the app","3","5",
c8f1732d-6062-4f34-ac15-b331135d25ae,2026-05-09T14:29:20.845+00:00,"Paid Employee (salary)","I use government portals (e.g. TaxPro Max)",,,"Yes, I knew this","5","No, I always get a receipt","No, this hasn't affected me","5","Yes, definitely prefer the app","5","5",
07acdf14-2491-4e1a-b8c2-86bff6d686e5,2026-05-09T14:21:20.902+00:00,"Small Business Owner","I don't pay / I don't know how to pay",,,"Yes, I knew this","3","I've never paid through a middleman","Yes, this has happened to me","4","Yes, definitely prefer the app","3","3",
ed6d51d7-5d06-4b91-9a84-38a71a178d35,2026-05-09T14:03:40.119+00:00,"Paid Employee (salary)","I use government portals (e.g. TaxPro Max)",,,"Yes, I knew this","3","Yes, this has happened to me","Yes, this has happened to me","5","Yes, definitely prefer the app","5","5",
1a6a8bf5-16fa-4699-a0e1-c4a18755b2dd,2026-05-09T13:01:00.437+00:00,"Small Business Owner","I pay through tax agents or middlemen",,,"I had heard something but wasn't sure","4","No, I always get a receipt","No, but I've struggled to get a TCC before","4","Maybe, depends on the app","4","4",